iter	Accuracy	Logloss
0	0.7934458788	0.6488169053
1	0.82224429	0.6098534802
2	0.8212512413	0.580436257
3	0.8331678252	0.5530063605
4	0.8242303873	0.5376304341
5	0.8301886792	0.5152186056
6	0.8381330685	0.4927017243
7	0.8490566038	0.4773637216
8	0.8450844091	0.4727707168
9	0.8430983118	0.4610534316
10	0.859980139	0.4432412575
11	0.8669314796	0.429716808
12	0.8758689176	0.4158723651
13	0.8838133069	0.4059264808
14	0.8808341609	0.3922858187
15	0.8977159881	0.3811172438
16	0.9056603774	0.3717253382
17	0.9086395233	0.3605874211
18	0.912611718	0.352595405
19	0.915590864	0.3441766232
20	0.9195630586	0.3354336264
21	0.9225422046	0.3275160211
22	0.9215491559	0.3188865719
23	0.9285004965	0.3116561192
24	0.9265143992	0.3049227192
25	0.9265143992	0.3042938984
26	0.9285004965	0.2990944287
27	0.9285004965	0.2939698709
28	0.9324726912	0.2868975628
29	0.9334657398	0.2826088777
30	0.9374379345	0.2755179497
31	0.9424031778	0.2725075991
32	0.9443892751	0.2661474639
33	0.9453823237	0.2616105811
34	0.9493545184	0.2557507675
35	0.9463753724	0.2503353548
36	0.9513406157	0.2466989024
37	0.950347567	0.2461795748
38	0.9543197617	0.2421773438
39	0.9602780536	0.2383103954
40	0.9602780536	0.2347243675
41	0.9602780536	0.2303754018
42	0.9622641509	0.2260080558
43	0.9622641509	0.2231056541
44	0.9652432969	0.2195760544
45	0.9652432969	0.2161683521
46	0.9682224429	0.2122060297
47	0.9682224429	0.207620696
48	0.9702085402	0.2038187785
49	0.9721946375	0.1993714317
50	0.9721946375	0.1966772076
51	0.9721946375	0.1964525865
52	0.9761668322	0.1935567002
53	0.9781529295	0.1908316368
54	0.9791459782	0.1872277823
55	0.9801390268	0.1850125302
56	0.9801390268	0.1823969521
57	0.9831181728	0.1793100936
58	0.9831181728	0.1758841349
59	0.9831181728	0.1736161422
60	0.9831181728	0.1715235103
61	0.9831181728	0.1684813818
62	0.9831181728	0.1650225838
