iter	Passed	Remaining
0	9	9069
1	16	8073
2	23	7955
3	29	7309
4	34	6935
5	40	6780
6	45	6495
7	50	6312
8	59	6564
9	64	6371
10	69	6236
11	119	9817
12	154	11749
13	159	11266
14	171	11280
15	178	10955
16	183	10592
17	188	10280
18	195	10083
19	201	9865
20	207	9692
21	214	9531
22	219	9334
23	226	9195
24	233	9092
25	239	8975
26	247	8921
27	253	8802
28	258	8664
29	265	8568
30	270	8446
31	275	8326
32	281	8251
33	286	8142
34	291	8045
35	297	7965
36	303	7900
37	308	7821
38	313	7733
39	318	7650
40	323	7575
41	328	7496
42	333	7426
43	338	7353
44	343	7283
45	348	7217
46	352	7154
47	357	7096
48	363	7054
49	368	6998
50	373	6943
51	378	6905
52	383	6851
53	388	6801
54	392	6750
55	397	6701
56	402	6651
57	407	6624
58	415	6628
59	421	6599
60	427	6581
61	432	6550
62	439	6540
63	446	6531
64	455	6547
65	463	6553
66	469	6533
67	474	6506
68	479	6475
69	486	6459
70	491	6427
71	496	6393
72	501	6365
73	506	6335
74	511	6305
75	516	6274
76	522	6264
77	528	6249
78	534	6237
79	540	6213
80	547	6213
81	553	6198
82	558	6175
83	564	6151
84	569	6133
85	575	6119
86	582	6113
87	589	6109
88	595	6093
89	602	6095
90	608	6075
91	613	6055
92	618	6033
93	623	6008
94	627	5981
95	632	5959
96	637	5937
97	642	5912
98	647	5892
99	651	5867
100	656	5844
101	661	5822
102	668	5817
103	674	5807
104	679	5788
105	687	5795
106	692	5781
107	701	5790
108	706	5776
109	712	5766
110	720	5767
111	725	5752
112	734	5765
113	739	5748
114	745	5738
115	752	5732
116	757	5719
117	763	5706
118	770	5704
119	776	5694
120	782	5686
121	789	5680
122	796	5682
123	802	5670
124	807	5654
125	814	5650
126	819	5631
127	824	5614
128	830	5605
129	835	5591
130	840	5578
131	847	5575
132	854	5572
133	863	5578
134	869	5568
135	875	5564
136	882	5557
137	887	5542
138	894	5543
139	900	5533
140	907	5525
141	913	5522
142	919	5512
143	926	5509
144	932	5498
145	938	5487
146	944	5480
147	950	5471
148	957	5469
149	963	5458
150	968	5443
151	975	5440
152	980	5429
153	986	5418
154	992	5412
155	998	5399
156	1004	5391
157	1009	5379
158	1013	5361
159	1018	5345
160	1023	5334
161	1027	5316
162	1032	5301
163	1038	5295
164	1043	5279
165	1048	5266
166	1055	5263
167	1060	5253
168	1066	5243
169	1071	5233
170	1076	5218
171	1081	5204
172	1087	5196
173	1091	5183
174	1096	5170
175	1102	5161
176	1107	5148
177	1112	5135
178	1118	5129
179	1122	5115
180	1127	5102
181	1133	5095
182	1138	5082
183	1143	5069
184	1148	5059
185	1153	5049
186	1158	5037
187	1163	5027
188	1169	5016
189	1173	5003
190	1178	4992
191	1184	4986
192	1189	4975
193	1194	4963
194	1200	4956
195	1206	4948
196	1212	4940
197	1218	4934
198	1223	4923
199	1229	4917
200	1234	4908
201	1239	4897
202	1247	4898
203	1253	4891
204	1259	4883
205	1265	4876
206	1270	4866
207	1275	4857
208	1281	4850
209	1287	4841
210	1293	4837
211	1299	4831
212	1304	4821
213	1311	4817
214	1316	4808
215	1321	4797
216	1328	4792
217	1333	4783
218	1338	4775
219	1345	4769
220	1350	4759
221	1355	4750
222	1362	4748
223	1367	4737
224	1372	4727
225	1379	4722
226	1383	4712
227	1389	4705
228	1395	4698
229	1400	4688
230	1406	4682
231	1412	4674
232	1417	4665
233	1424	4662
234	1429	4652
235	1435	4646
236	1440	4639
237	1446	4629
238	1453	4628
239	1460	4625
240	1467	4622
241	1476	4623
242	1484	4623
243	1490	4619
244	1496	4612
245	1504	4612
246	1511	4607
247	1520	4609
248	1525	4601
249	1530	4592
250	1536	4585
251	1541	4574
252	1545	4562
253	1551	4555
254	1555	4545
